id,weight,total_win,base_win,free_win,super_win,criteria
0,12800217066,0.00,0.00,0.00,0.00,0
1,35020020704,12.46,10.91,0.00,1.55,super
2,12800217066,0.00,0.00,0.00,0.00,0
3,12800217066,0.00,0.00,0.00,0.00,0
4,12800217066,0.00,0.00,0.00,0.00,0
5,5758422106,5.63,5.63,0.00,0.00,basegame
6,12800217066,0.00,0.00,0.00,0.00,0
7,12800217066,0.00,0.00,0.00,0.00,0
8,5758422106,1.83,1.83,0.00,0.00,basegame
9,12800217066,0.00,0.00,0.00,0.00,0
10,12800217066,0.00,0.00,0.00,0.00,0
11,5758422106,0.35,0.35,0.00,0.00,basegame
12,12800217066,0.00,0.00,0.00,0.00,0
13,12800217066,0.00,0.00,0.00,0.00,0
14,12800217066,0.00,0.00,0.00,0.00,0
15,12800217066,0.00,0.00,0.00,0.00,0
16,5758422106,1.06,1.06,0.00,0.00,basegame
17,5758422106,7.96,7.96,0.00,0.00,basegame
18,12800217066,0.00,0.00,0.00,0.00,0
19,12800217066,0.00,0.00,0.00,0.00,0
20,12800217066,0.00,0.00,0.00,0.00,0
21,12800217066,0.00,0.00,0.00,0.00,0
22,12800217066,0.00,0.00,0.00,0.00,0
23,12800217066,0.00,0.00,0.00,0.00,0
24,12800217066,0.00,0.00,0.00,0.00,0
25,12800217066,0.00,0.00,0.00,0.00,0
26,12800217066,0.00,0.00,0.00,0.00,0
27,12800217066,0.00,0.00,0.00,0.00,0
28,12800217066,0.00,0.00,0.00,0.00,0
29,12800217066,0.00,0.00,0.00,0.00,0
30,5758422106,13.73,13.73,0.00,0.00,basegame
31,12800217066,0.00,0.00,0.00,0.00,0
32,12800217066,0.00,0.00,0.00,0.00,0
33,12800217066,0.00,0.00,0.00,0.00,0
34,12800217066,0.00,0.00,0.00,0.00,0
35,12800217066,0.00,0.00,0.00,0.00,0
36,12800217066,0.00,0.00,0.00,0.00,0
37,12800217066,0.00,0.00,0.00,0.00,0
38,12800217066,0.00,0.00,0.00,0.00,0
39,12800217066,0.00,0.00,0.00,0.00,0
40,12800217066,0.00,0.00,0.00,0.00,0
41,12800217066,0.00,0.00,0.00,0.00,0
42,5758422106,0.84,0.84,0.00,0.00,basegame
43,12800217066,0.00,0.00,0.00,0.00,0
44,5758422106,0.84,0.84,0.00,0.00,basegame
45,12800217066,0.00,0.00,0.00,0.00,0
46,12800217066,0.00,0.00,0.00,0.00,0
47,12800217066,0.00,0.00,0.00,0.00,0
48,12800217066,0.00,0.00,0.00,0.00,0
49,5758422106,1.27,1.27,0.00,0.00,basegame
50,12800217066,0.00,0.00,0.00,0.00,0
51,12800217066,0.00,0.00,0.00,0.00,0
52,12800217066,0.00,0.00,0.00,0.00,0
53,12800217066,0.00,0.00,0.00,0.00,0
54,12800217066,0.00,0.00,0.00,0.00,0
55,12800217066,0.00,0.00,0.00,0.00,0
56,12800217066,0.00,0.00,0.00,0.00,0
57,12800217066,0.00,0.00,0.00,0.00,0
58,12800217066,0.00,0.00,0.00,0.00,0
59,12800217066,0.00,0.00,0.00,0.00,0
60,5758422106,1.76,1.76,0.00,0.00,basegame
61,12800217066,0.00,0.00,0.00,0.00,0
62,12800217066,0.00,0.00,0.00,0.00,0
63,12800217066,0.00,0.00,0.00,0.00,0
64,12800217066,0.00,0.00,0.00,0.00,0
65,5758422106,0.70,0.70,0.00,0.00,basegame
66,12800217066,0.00,0.00,0.00,0.00,0
67,12800217066,0.00,0.00,0.00,0.00,0
68,12800217066,0.00,0.00,0.00,0.00,0
69,12800217066,0.00,0.00,0.00,0.00,0
70,12800217066,0.00,0.00,0.00,0.00,0
71,12800217066,0.00,0.00,0.00,0.00,0
72,12800217066,0.00,0.00,0.00,0.00,0
73,12800217066,0.00,0.00,0.00,0.00,0
74,5758422106,0.35,0.35,0.00,0.00,basegame
75,12800217066,0.00,0.00,0.00,0.00,0
76,12800217066,0.00,0.00,0.00,0.00,0
77,5758422106,1.27,1.27,0.00,0.00,basegame
78,5758422106,7.04,7.04,0.00,0.00,basegame
79,12800217066,0.00,0.00,0.00,0.00,0
80,5758422106,14.29,14.29,0.00,0.00,basegame
81,12800217066,0.00,0.00,0.00,0.00,0
82,12800217066,0.00,0.00,0.00,0.00,0
83,12800217066,0.00,0.00,0.00,0.00,0
