id,weight,total_win,base_win,free_win,super_win,criteria
0,23873083492,0.00,0.00,0.00,0.00,0
1,23873083492,0.00,0.00,0.00,0.00,0
2,23873083492,0.00,0.00,0.00,0.00,0
3,23873083492,0.00,0.00,0.00,0.00,0
4,23873083492,0.00,0.00,0.00,0.00,0
5,23873083492,0.00,0.00,0.00,0.00,0
6,23873083492,0.00,0.00,0.00,0.00,0
7,23873083492,0.00,0.00,0.00,0.00,0
8,23873083492,0.00,0.00,0.00,0.00,0
9,23873083492,0.00,0.00,0.00,0.00,0
10,23873083492,0.00,0.00,0.00,0.00,0
11,23873083492,0.00,0.00,0.00,0.00,0
12,16303322109,0.30,0.30,0.00,0.00,basegame
13,23873083492,0.00,0.00,0.00,0.00,0
14,16303322109,0.50,0.50,0.00,0.00,basegame
15,23873083492,0.00,0.00,0.00,0.00,0
16,23873083492,0.00,0.00,0.00,0.00,0
17,23873083492,0.00,0.00,0.00,0.00,0
18,23873083492,0.00,0.00,0.00,0.00,0
19,23873083492,0.00,0.00,0.00,0.00,0
20,23873083492,0.00,0.00,0.00,0.00,0
21,23873083492,0.00,0.00,0.00,0.00,0
22,23873083492,0.00,0.00,0.00,0.00,0
23,16303322109,0.20,0.20,0.00,0.00,basegame
24,23873083492,0.00,0.00,0.00,0.00,0
25,23873083492,0.00,0.00,0.00,0.00,0
26,23873083492,0.00,0.00,0.00,0.00,0
27,16303322109,1.80,1.80,0.00,0.00,basegame
28,23873083492,0.00,0.00,0.00,0.00,0
29,16303322109,0.20,0.20,0.00,0.00,basegame
30,16303322109,5.40,5.40,0.00,0.00,basegame
31,23873083492,0.00,0.00,0.00,0.00,0
32,23873083492,0.00,0.00,0.00,0.00,0
33,16303322109,0.30,0.30,0.00,0.00,basegame
34,16303322109,1.70,1.70,0.00,0.00,basegame
35,16303322109,2.30,2.30,0.00,0.00,basegame
36,23873083492,0.00,0.00,0.00,0.00,0
37,23873083492,0.00,0.00,0.00,0.00,0
38,23873083492,0.00,0.00,0.00,0.00,0
39,23873083492,0.00,0.00,0.00,0.00,0
40,23873083492,0.00,0.00,0.00,0.00,0
41,23873083492,0.00,0.00,0.00,0.00,0
42,23873083492,0.00,0.00,0.00,0.00,0
43,16303322109,0.60,0.60,0.00,0.00,basegame
44,23873083492,0.00,0.00,0.00,0.00,0
45,23873083492,0.00,0.00,0.00,0.00,0
46,23873083492,0.00,0.00,0.00,0.00,0
47,23873083492,0.00,0.00,0.00,0.00,0
48,16303322109,1.00,1.00,0.00,0.00,basegame
49,16303322109,0.60,0.60,0.00,0.00,basegame
50,16303322109,0.20,0.20,0.00,0.00,basegame
51,23873083492,0.00,0.00,0.00,0.00,0
52,23873083492,0.00,0.00,0.00,0.00,0
53,16303322109,0.30,0.30,0.00,0.00,basegame
54,23873083492,0.00,0.00,0.00,0.00,0
55,23873083492,0.00,0.00,0.00,0.00,0
56,23873083492,0.00,0.00,0.00,0.00,0
57,23873083492,0.00,0.00,0.00,0.00,0
58,23873083492,0.00,0.00,0.00,0.00,0
59,23873083492,0.00,0.00,0.00,0.00,0
60,23873083492,0.00,0.00,0.00,0.00,0
61,16303322109,6.20,6.20,0.00,0.00,basegame
62,23873083492,0.00,0.00,0.00,0.00,0
63,23873083492,0.00,0.00,0.00,0.00,0
64,23873083492,0.00,0.00,0.00,0.00,0
65,23873083492,0.00,0.00,0.00,0.00,0
66,23873083492,0.00,0.00,0.00,0.00,0
67,23873083492,0.00,0.00,0.00,0.00,0
68,16303322109,3.20,3.20,0.00,0.00,basegame
69,23873083492,0.00,0.00,0.00,0.00,0
70,16303322109,4.20,4.20,0.00,0.00,basegame
71,16303322109,1.60,1.60,0.00,0.00,basegame
